1	Germany	3280334
2	USA	14447100
3	China	5739358
4	Afghanistan	15676
5	Russia	1479823
6	Turkey	734440
7	Belgium	469347
8	Albania	11783
9	Bosnia_and_Herzegovina	16837
10	Croatia	60852
11	Greece	301065
12	Italy	2051290
13	Macedonia	9138
14	Montenegro	4111
15	Romania	161629
16	Spain	1407322
17	Ukraine	137936
18	Bulgaria	47702
19	Algeria	158650
20	Egypt	215272
21	France	2559850
22	Jordan	27504
23	Lebanon	39248
24	Morocco	91542
25	Senegal	12841
26	Serbia	37713
27	South_Africa	363704
28	The_Netherlands	779310
29	UK	2253552
30	United_Arab_Emirates	297648
31	American_Samoa	612
32	Andorra	3491
33	Switzerland	527920
34	Brazil	2088966
35	Angola	82470
36	Macau	27177
37	Portugal	228859
38	Cameroon	23649
39	Antigua_and_Barbuda	1118
40	Argentina	370263
41	Bolivia	19640
42	Canada	1577040
43	Chile	203443
44	Cyprus	22957
45	Israel	217445
46	Lithuania	36478
47	Mexico	1032224
48	Norway	413056
49	Paraguay	17886
50	Peru	157324
51	Poland	469393
52	Thailand	318850
53	Uruguay	40265
54	Venezuela	391307
55	Armenia	9371
56	Estonia	18958
57	Georgia	11665
58	India	1722328
59	Iran	386670
60	Moldova	5809
61	Indonesia	707448
62	Aruba	2456
63	Australia	1271945
64	Ireland	206600
65	Japan	5458873
66	Latvia	24014
67	Malaysia	237797
68	Mongolia	6192
69	New_Caledonia	8861
70	New_Zealand	141406
71	Papua_New_Guinea	9796
72	Philippines	199591
73	Slovakia	87263
74	Solomon_Islands	642
75	South_Korea	1014369
76	Sweden	458725
77	Timor-Leste	794
78	Austria	379047
79	Czech_Republic	197674
80	Denmark	309866
81	Finland	238731
82	Hungary	128629
83	Luxembourg	53330
84	Slovenia	46906
85	Azerbaijan	51797
86	Kazakhstan	146908
87	Saudi_Arabia	434666
88	Bahrain	22945
89	Pakistan	174150
90	Bangladesh	99689
91	Barbados	3963
92	Belarus	54713
93	Democratic_Republic_of_the_Congo	13230
94	Suriname	3682
95	Belize	1401
96	Benin	6558
97	Bhutan	1486
98	Ecuador	58910
99	Libya	71945
100	Botswana	14857
101	Cape_Verde	1609
102	Mali	9204
103	Nicaragua	6551
104	Nigeria	196410
105	Palestine	7349
106	Burkina_Faso	8559
107	Ghana	32520
108	Kuwait	124331
109	Cambodia	11272
110	Burma	42027
111	Cuba	64220
112	Iceland	12574
113	Cayman_Islands	3208
114	Chad	8166
115	Congo	13230
116	Fiji	3052
117	Nepal	16020
118	North_Korea	12278
119	Sudan	79480
120	Zambia	16201
121	Colombia	288086
122	Costa_Rica	35891
123	Côte_dIvoire	22780
124	Dominican_Republic	51576
125	Greenland	2022
126	Djibouti	1140
127	Puerto_Rico	99202
128	Iraq	28141
129	Tunisia	44252
130	El_Salvador	21215
131	Equatorial_Guinea	11803
132	Eritrea	2254
133	Ethiopia	26928
134	Tanzania	22502
135	Haiti	6123
136	Gabon	18771
137	Niger	5549
138	Grenada	776
139	Guatemala	41473
140	Guinea	4267
141	Guinea-Bissau	817
142	Trinidad_and_Tobago	20397
143	Guyana	2260
144	Honduras	15400
145	Hong_Kong	224459
146	Vietnam	103902
147	Uganda	17015
148	Oman	57850
149	Jamaica	13428
150	Kenya	32483
151	Kosovo	5590
152	Kyrgyzstan	4616
153	Laos	6496
154	Lesotho	2129
155	Liberia	873
156	Madagascar	8739
157	Malawi	5325
158	Maldives	1480
159	Malta	8163
160	Marshall_Islands	166
161	Mauritania	3913
162	Mauritius	9729
163	Micronesia	297
164	Monaco	5424
165	Mozambique	9533
166	Namibia	11701
167	Palau	222
168	Panama	26777
169	Uzbekistan	39173
170	Qatar	127333
171	Rwanda	5655
172	San_Marino	1487
173	São_Tomé_and_Príncipe	212
174	Sierra_Leone	2064
175	Singapore	222699
176	Somalia	1071
177	Zimbabwe	7204
178	Sri_Lanka	49549
179	St_Kitts_and_Nevis	550
180	Swaziland	3927
181	Syria	59834
182	Tajikistan	5613
183	The_Bahamas	7702
184	The_Gambia	1001
185	Togo	3162
186	Tonga	369
187	Turkmenistan	23130
188	Turks_and_Caicos_Islands	1381
189	Vanuatu	710
190	Yemen	34569
